SDSS_name,objID,L_pred
SDSS J003601.99-095318.6,1237652900751999067,0.99
SDSS J124809.33+540124.0,1237658800966074379,0.96
SDSS J103053.67+511959.5,1237658801493835993,0.98
SDSS J145756.34+534705.8,1237659150459732136,0.98
SDSS J135533.58+590321.6,1237659327089541254,0.99
SDSS J022442.16-075648.8,1237653472514605178,0.97
SDSS J145512.02+502955.3,1237661387071160450,0.98
SDSS J145945.59+512755.4,1237661418752704736,0.95
SDSS J113158.62-000301.1,1237648721227677751,0.93
SDSS J130243.53+003949.8,1237648722311315609,0.95
SDSS J122254.39-024008.8,1237650370484437174,0.98
SDSS J121440.25-022654.1,1237650761855271025,0.98
SDSS J094659.94+023341.0,1237651754532667576,0.97
SDSS J122249.60+030614.5,1237651754549706790,0.92
SDSS J141523.71+042430.6,1237651822708457488,0.96
SDSS J212457.99+105141.1,1237652943158706615,0.98
SDSS J004332.39+142033.2,1237653651302711312,0.99
SDSS J164424.31+434350.6,1237654953204777125,0.98
SDSS J112126.73+024448.1,1237654030328070394,0.93
SDSS J145042.98-014253.6,1237655499209638127,0.97
SDSS J145041.62-014636.2,1237655692477333731,0.98
SDSS J151722.65+053002.2,1237655744020742439,0.88
SDSS J004327.84-000729.7,1237657190909935743,0.97
SDSS J075625.12+292809.0,1237657630579884376,0.94
SDSS J092413.84+403814.8,1237657874329174211,0.95
SDSS J092409.56+395452.6,1237658203960574169,0.96
SDSS J093535.73+545537.3,1237654381979828422,0.93
SDSS J031907.71+005721.4,1237660241924194333,0.89
SDSS J031907.16+410833.4,1237661083199275747,0.92
SDSS J130237.71+502618.2,1237661152452149305,0.98
SDSS J103106.95+040659.7,1237654601029910667,0.92
SDSS J163054.18+463524.7,1237651252589232316,0.93
SDSS J105039.85+654337.9,1237651538708332695,0.96
SDSS J140320.74-003259.8,1237651709969170619,0.98
SDSS J134657.18+020652.1,1237651736305533085,0.93
SDSS J134651.93+034451.9,1237654879122817191,0.99
SDSS J162200.73+493114.8,1237654953201762613,0.98
SDSS J234713.36-002848.6,1237657190366969962,0.97
SDSS J082553.91+391109.6,1237657594614382903,0.95
SDSS J085934.57+455536.1,1237657608576762006,0.99
SDSS J082554.21+403725.8,1237657609110094034,0.98
SDSS J090716.05+371255.3,1237658203421868038,0.9
SDSS J105034.07+484136.4,1237658614126608547,0.98
SDSS J114429.06+553908.0,1237658803109560429,0.95
SDSS J150610.16+532438.8,1237659150997127314,0.94
SDSS J165216.82+272156.9,1237659153148150176,0.96
SDSS J103326.66+115001.7,1237660670893097127,0.97
SDSS J104031.24+121739.8,1237660671430754375,0.98
SDSS J110929.22+145338.9,1237661070329512094,0.89
SDSS J135152.41+032718.1,1237655123945783446,0.95
SDSS J130311.45+484707.1,1237661150304796792,0.95
SDSS J091954.54+325559.9,1237661383306969148,0.97
SDSS J100358.61+390843.6,1237661850384400688,0.99
SDSS J161353.34+481748.0,1237655129836880127,0.96
SDSS J150709.51+093808.0,1237661950272536968,0.91
SDSS J160716.30+000132.0,1237648704602636571,0.91
SDSS J113221.83+004816.7,1237648722301419657,0.92
SDSS J122404.88+011123.2,1237648722843992100,0.95
SDSS J113132.08-021833.1,1237650761850552420,0.94
