SDSS_name,objID,A1
SDSS J103625.67+583322.2,1237658304889487581,0.08
SDSS J114223.71+101550.9,1237660614513000572,0.04
SDSS J150530.55+083127.6,1237662264858574946,0.04
SDSS J131933.40+165911.6,1237668590266155130,0.07
SDSS J094508.97+683540.4,1237663917885554734,0.07
SDSS J082224.79+253032.6,1237661125612077126,0.06
SDSS J112530.43+632646.7,1237651065203064903,0.12
SDSS J091039.67+502247.4,1237655108902584442,0.06
SDSS J131903.09+393521.6,1237662225683054766,0.09
SDSS J210107.74-001142.6,1237663543139565616,0.1
SDSS J124957.86+274920.7,1237667323796783113,0.08
SDSS J114803.36+302133.5,1237667212137005114,0.07
SDSS J205527.62-011330.8,1237656567038935144,0.08
SDSS J012858.64-005656.4,1237657069546242361,0.06
SDSS J115607.19+552326.7,1237658802573410381,0.07
SDSS J134516.17+231308.2,1237667911138672682,0.09
SDSS J143855.08+203024.1,1237665565535502381,0.04
SDSS J081600.79+270433.1,1237660765908893968,0.09
SDSS J080538.66+261005.4,1237660343925997780,0.05
SDSS J123713.53+492653.6,1237658203975844003,0.1
SDSS J111816.68+281537.5,1237667210523508832,0.07
SDSS J112444.80+233653.7,1237667910587711520,0.07
SDSS J121155.12+161353.7,1237664292075077715,0.09
SDSS J134938.78+041417.8,1237655125019263012,0.08
SDSS J144414.73+041306.7,1237651822711603220,0.08
SDSS J112306.93+651506.6,1237654400764149907,0.08
SDSS J145459.83+621633.3,1237654949445501118,0.04
SDSS J162621.91+405442.7,1237655373035995195,0.11
SDSS J170654.71+301611.1,1237655373578764314,0.09
SDSS J073906.02+290936.2,1237657595682030119,0.1
SDSS J105359.85+493934.9,1237657628449439839,0.05
SDSS J143409.98+540444.0,1237659148310872204,0.04
SDSS J162133.88+380030.8,1237659162813530234,0.08
SDSS J095524.67+410916.2,1237660343400988821,0.11
SDSS J114242.00+085224.8,1237660612902387818,0.1
SDSS J165728.60+223557.6,1237661465995248061,0.09
SDSS J151932.66+095736.0,1237662200431968509,0.07
SDSS J134205.95+370228.3,1237662223537733685,0.05
SDSS J153551.88+060328.9,1237662269150396885,0.07
SDSS J081618.48+522518.9,1237663546902053108,0.07
SDSS J081314.18+522731.4,1237663547438792835,0.08
SDSS J133130.19+333223.4,1237665024911540261,0.06
SDSS J153726.08+214437.7,1237665372257255598,0.05
SDSS J143727.86+254556.0,1237665429173108785,0.06
SDSS J132324.62+263236.8,1237665531706605713,0.12
SDSS J160619.53+162553.1,1237665532260581478,0.07
SDSS J114715.04+191033.6,1237668292839276657,0.11
SDSS J080241.90+345640.7,1237674367530762513,0.11
SDSS J023143.18+005415.8,1237678617434456201,0.07
SDSS J090934.95+183656.5,1237667292114845769,0.12
SDSS J134554.23+021502.3,1237651736305402018,0.05
SDSS J104334.68+220902.9,1237667549269721194,0.07
SDSS J092147.02+522452.7,1237654654180982969,0.14
SDSS J095904.10+332849.9,1237664667359248612,0.12
SDSS J155819.59+042705.4,1237655744025264421,0.15
SDSS J110546.24+303137.4,1237665367969628312,0.09
SDSS J113418.77+541112.9,1237658801498226800,0.09
SDSS J083354.94+394753.3,1237657606962806995,0.08
SDSS J012334.15+150456.1,1237649920578814069,0.06
SDSS J113716.25+454526.6,1237661852539879572,0.07
SDSS J110528.50+374440.6,1237662224061104203,0.08
SDSS J094841.18+342300.5,1237664669506011341,0.1
SDSS J132507.20+155025.3,1237668623019278497,0.06
SDSS J142256.52+402501.7,1237661872413606266,0.15
SDSS J102032.70+441228.9,1237660636531851383,0.15
SDSS J160746.09+005427.0,1237651735784063182,0.05
SDSS J024543.56-003221.5,1237657070091501786,0.09
SDSS J091345.39+345014.3,1237660962402861130,0.07
SDSS J034626.96-063152.5,1237652900235771982,0.04
SDSS J130522.93+043843.3,1237655125014413478,0.09
SDSS J105030.53+123008.2,1237660671431868495,0.12
SDSS J100515.00+513545.9,1237657769636331635,0.1
SDSS J082959.06+304340.1,1237660635983774050,0.07
SDSS J133839.93+552700.5,1237661386528784541,0.04
SDSS J152414.99+383815.9,1237662473151971518,0.09
SDSS J155327.84+171824.5,1237665549436584282,0.13
SDSS J231235.24+131627.9,1237656494034845882,0.14
SDSS J130305.82+381852.0,1237662223534325872,0.1
SDSS J133229.82+223607.4,1237667736663621814,0.09
SDSS J123313.69+121449.1,1237658629695864880,0.08
SDSS J102126.42+381747.3,1237661382776062136,0.11
SDSS J105125.25+190051.8,1237668289623752915,0.08
SDSS J084749.72+185442.7,1237667211044782348,0.09
SDSS J093658.58+144218.3,1237671262814142753,0.05
SDSS J135747.62+072346.5,1237661972269891721,0.12
SDSS J082832.83+084401.6,1237671123220168862,0.04
SDSS J123408.47+192925.0,1237667914884907238,0.08
SDSS J162328.05+391129.0,1237659324955426909,0.09
SDSS J123046.04+445739.4,1237661850933395536,0.04
SDSS J133003.89+121030.6,1237661950262050854,0.09
SDSS J090323.31+133038.3,1237670965383659650,0.06
SDSS J110956.80+132728.8,1237664130483945605,0.04
SDSS J083944.54+051339.5,1237658300595372377,0.15
SDSS J102516.72+520314.4,1237658802567381006,0.05
SDSS J125941.31+273935.3,1237667323797700828,0.09
SDSS J104512.79+201103.4,1237667734499164240,0.1
SDSS J150027.59+062717.0,1237662268609724557,0.11
SDSS J132630.26+452336.5,1237661433239699594,0.12
SDSS J104733.80+453404.6,1237661358074298455,0.06
SDSS J131635.50-020528.8,1237655499199348807,0.08
SDSS J111313.28+553320.8,1237657220414111770,0.11
SDSS J113543.12+494416.1,1237658205045260329,0.1
SDSS J115457.88+484450.8,1237658611446775895,0.11
SDSS J210621.68-004616.3,1237656567576986167,0.08
SDSS J134555.12+230348.8,1237667911138738226,0.05
SDSS J114220.06+544730.0,1237658802035622010,0.14
SDSS J134248.47+145553.5,1237662531136258115,0.11
SDSS J114747.44+184309.6,1237668292302471281,0.03
SDSS J102204.87+202824.5,1237667736107483156,0.1
SDSS J114620.23+354318.4,1237665129614671905,0.14
SDSS J083053.37+264301.2,1237661125613060145,0.09
SDSS J105010.84+350201.2,1237664337711005759,0.09
